0.6225-0.4848j, 0.4848+0.3775j

0.7786-0.4152j, 0.4152+0.2214j

-0.4923+0.7394j,  0.4419-0.1252j

-0.2774+0.8143j,  0.3999-0.3164j

0.1062+0.4343j,  0.4649-0.7642j

0.1286+0.4217j,  0.4657-0.7673j

0.9900+0.j, 0.1409+0.j

0.9908-0.0954j, 0.0954+0.0092j

0.8464-0.1205j, 0.5136+0.0731j

0.8229-3.8174e-01j, 0.3817+1.7709e-01j

0.7991-0.5474j, 0.1758-0.1758j

0.7835-0.5755j, 0.1657-0.1657j

0.9345-0.2647j, 0.1664-0.1704j

0.9998-0.0034j, 0.0147-0.0151j

0.4063-0.2250j, 0.7170-0.5198j

0.4975-0.0489j, 0.8083-0.3110j

0.1914+0.7297j, 0.1986+0.6256j

0.4355+0.7640j, 0.2686+0.3932j

-0.0757+0.5222j,  0.5323-0.6620j

0.0120+0.4842j,  0.4818-0.7303j

0.7786-0.4152j, 0.4152+0.2214j

0.7869-0.4095j, 0.4095+0.2131j

0.8555-0.4405j, 0.1923-0.1923j

0.8018-0.5426j, 0.1772-0.1772j

0.6053+0.0061j, 0.7890-0.1053j

0.4307-0.1406j, 0.7692-0.4506j

-0.2423+0.8108j,  0.4100-0.3402j

0.0337+0.4738j,  0.4751-0.7407j

0.6613-0.4733j, 0.4733+0.3387j

0.5076-0.4999j, 0.4999+0.4924j

