0.2337-0.0141j,  0.3406-0.0205j, -0.5087-0.0810j, -0.7413-0.1181j

0.4215-0.1107j,  0.6142-0.1614j, -0.3536+0.0724j, -0.5152+0.1055j

0.3709-0.1433j,  0.5405-0.2089j, -0.4197+0.4098j, -0.2880+0.2813j

0.3228-0.1143j,  0.4704-0.1666j, -0.4896+0.4371j, -0.3360+0.3000j

0.8514-0.0535j, 0.0000+0.0000j, 0.3995+0.3356j, 0.0000+0.0000j

0.1845-0.1441j,  0.2691-0.2102j, -0.3252+0.3989j, -0.4744+0.5819j

0.4387-0.1930j,  0.6399-0.2815j, -0.2322+0.1900j, -0.3388+0.2771j

0.4447-0.1787j,  0.6486-0.2607j, -0.4023+0.1723j, -0.2758+0.1181j

0.3241-0.1098j,  0.4732-0.1604j,-0.3414+0.2926j, -0.4985+0.4272j

0.4380-0.1898j,  0.6396-0.2772j, -0.2381+0.1863j, -0.3476+0.2720j

0.4481-0.1896j,  0.6543-0.2768j, -0.3960+0.1382j, -0.2712+0.0947j

0.0903-0.1530j,  0.1318-0.2235j, -0.5145+0.5906j, -0.3522+0.4043j

0.3053-0.1279j,  0.4460-0.1869j, -0.4666+0.4788j, -0.3194+0.3278j

0.4858-0.0098j,  0.7100-0.0143j, 0.2479-0.1460j, 0.3623-0.2135j

0.4773-0.0583j, 0.6977-0.0852j, 0.2744-0.1109j, 0.4011-0.1621j

0.4260-0.1334j,  0.6227-0.1950j, -0.3161+0.1401j, -0.4620+0.2048j

0.3484-0.1280j,  0.5092-0.1871j, -0.3114+0.2900j, -0.4552+0.4239j

0.3877-0.2143j, 0.5670-0.3133j, 0.3304-0.1150j, 0.4832-0.1681j

0.3106-0.4583j, 0.4542-0.6701j, 0.1092-0.0152j, 0.1596-0.0222j

0.4917+0.0064j, 0.7190+0.0094j, 0.2324-0.1511j, 0.3398-0.2210j

0.4125-0.1043j,  0.6033-0.1526j, -0.3691+0.0369j, -0.5397+0.0539j

0.1495-0.1490j,  0.2187-0.2179j, -0.4787+0.5975j, -0.3273+0.4086j

0.3783-0.1410j,  0.5532-0.2062j, -0.5713-0.0800j, -0.3907-0.0547j

0.2827-0.3900j, 0.4137-0.5706j, 0.2856-0.0692j, 0.4179-0.1013j

0.3808-0.3547j, 0.5571-0.5189j, 0.2161-0.0300j, 0.3162-0.0438j

0.4463-0.1878j, 0.6530-0.2747j, 0.2844-0.0558j, 0.4160-0.0816j

0.3615-0.1911j,  0.5288-0.2796j, -0.1757+0.3469j, -0.2571+0.5076j

0.3551-0.1765j,  0.5195-0.2583j, -0.3225+0.4909j, -0.2204+0.3355j

0.3273-0.1426j,  0.4788-0.2086j, -0.4256+0.4771j, -0.2909+0.3261j

0.0780+0.0090j, 0.7689+0.0886j, 0.0445-0.0452j, 0.4386-0.4455j

